,0
926,"President Biden signs bill designed to get US military aid to Ukraine more swiftly as he blames Russia for bringing ""destruction into Europe"" https://t.co/SJ3YozHHJI"
927,Authorities identify three Americans who died at a Sandals resort in the Bahamas last week as cause of death remains under investigation https://t.co/l5DRBNBoxf
928,"Britain's Queen Elizabeth II will not attend the opening of Parliament on Tuesday due to mobility issues, Buckingham Palace announces https://t.co/n06h3tuiiy"
929,Sri Lanka's Prime Minister Mahinda Rajapaksa resigns amid rising violence and clashes between pro and anti-government protesters https://t.co/7FJKeom9rl
930,"In an address full of falsehoods, the Russian leader accuses the West of leaving him no choice but to invade Ukraine https://t.co/KNiARXEmlb"
931,"US first lady Jill Biden made an unannounced trip to Ukraine, the latest high-profile American official to visit the country in recent weeks
https://t.co/GeJlVw6rkt"
932,"“All women, children and elderly” have been evacuated from the Azovstal steel plant in Mariupol, Ukrainian government says.
https://t.co/AzJ3F9EUPn"
933,"GOP Rep. Marjorie Taylor Greene shouldn’t be removed from the ballot over her role in the January 6 insurrection, a judge has said https://t.co/Qth3FIsKzJ"
934,"A vehicle associated with missing Alabama corrections officer Vicky White and inmate Casey White has been found in Tennessee, authorities say https://t.co/56lTqL4t55"
935,"The CDC is investigating more than 100 cases of children with hepatitis of unknown cause, including five deaths, in 25 states https://t.co/3dEcLSV8VW"
936,"At least four people have died in a massive explosion at Hotel Saratoga in Havana, Cuba. Follow live updates. https://t.co/RIYYkuagQi"
937,"A massive explosion has destroyed a hotel in Havana, Cuba, and rescue workers are searching through the rubble for survivors https://t.co/X7ezphrBkt"
938,"America's employers added 428,000 jobs in April, the same as in March https://t.co/rH6Lx3yK52"
939,"Putin's reputed girlfriend Alina Kabaeva included in proposed EU sanctions list, according to two European diplomatic sources https://t.co/G3zkXM21Wj"
940,The FDA says it is limiting emergency use authorization of the Johnson &amp; Johnson Covid-19 vaccine to people 18 and older for whom other vaccines aren't appropriate or accessible and those who opt for J&amp;J because they wouldn't otherwise get vaccinated. https://t.co/k49AHd2q1n
941,Karine Jean-Pierre will become the new White House press secretary when Jen Psaki departs her role in the coming weeks. https://t.co/mdnTx6Nklv
942,At least three people have been killed and four injured in Israel in a suspected terror attack on the country's independence day https://t.co/pQXHsllHK3
943,"The Dow plunges 1,000 points, wiping out gains made Wednesday after the Fed's announcement of the biggest interest rate hike in 22 years https://t.co/mU4ytm9UPh"
944,"About 14.9 million worldwide have died either directly or indirectly from Covid-19 -- nearly three times more deaths than reported, WHO data suggests https://t.co/XA1fJbpDHH"
945,"Donald Trump Jr., the son of former President Donald Trump, met with the House committee investigating January 6 on Tuesday, sources say. https://t.co/Eq1bfk0W0q"
946,"Secretary of State Antony Blinken has tested positive for Covid-19, his spokesman said. He is experiencing mild symptoms. https://t.co/yrxROypQwL"
947,The federal judge presiding over the cases of the four Minneapolis police officers implicated in the killing of George Floyd has accepted Derek Chauvin’s plea deal and will sentence him to 20 to 25 years in prison. https://t.co/fpgYRnZeNB
948,The Fed raises interest rates by half a percentage point — its largest hike since 2000 — in an effort to address the worst US inflation in 40 years. https://t.co/AGODyMaQxr
949,"Contact has been lost with the last Ukrainian defenders in Mariupol as new battles break out at the Azovstal steel plant, the city’s mayor says https://t.co/L3fgpGD5d9"
950,EU announces plan to phase out all imports of Russian oil as part of sixth package of sanctions against Moscow https://t.co/Nws9mJRz6V
951,"Oklahoma governor signs into law a restrictive abortion bill modeled after Texas' law allowing private citizens to bring civil suits against providers
https://t.co/APkoWZ69yc"
952,"US Chief Justice John Roberts calls ""leak"" of draft opinion that would overturn Roe v. Wade an ""egregious breach"" of trust and orders an investigation https://t.co/7u2SgZ6s25"
953,A record 4.5 million Americans quit their jobs in March https://t.co/sUGAbQ8IpQ
954,"President Biden says a woman's right to choose is ""fundamental"" following the release of a draft Supreme Court opinion that could strike down Roe v. Wade https://t.co/jt9dOCCeb8"
955,"Politico has obtained what it calls a draft majority opinion that would overturn Roe v. Wade, in a stunning breach of Supreme Court confidentiality. The final opinion has not been released. https://t.co/Mfw7BGaKCx"
956,"A former Philadelphia police officer who fatally shot a 12-year-old boy in the back in March has been charged with first-degree murder, District Attorney Larry Krasner announced Monday. https://t.co/qFlUNZFjfa"
957,"A warrant has been issued for Vicky White, assistant director of corrections for Lauderdale County, Alabama, according to Sheriff Rick Singleton. The warrant issued is for permitting of facilitating escape in the first degree, Singleton said. https://t.co/Mm12nrS4Gl"
958,"Supreme Court says Boston violated the First Amendment rights of a group seeking to raise a Christian flag outside City Hall
https://t.co/aeA5GNH7kx"
959,"An ongoing operation to move people out of Mariupol and the besieged Azovstal steel plant is underway, the International Committee of the Red Cross said
https://t.co/TZGcy78Eee"
960,"Nancy Pelosi led a delegation to Kyiv to meet with Volodymyr Zelensky. She's the highest-ranking US official to travel to Ukraine since the war began.
https://t.co/FxneFtR4OH"
961,"Country music legend Naomi Judd, one half of the Grammy-winning duo The Judds, has died.
https://t.co/JHgJmP2TBc"
962,"A Ukrainian soldier trapped inside the Azovstal steel plant in Mariupol says some civilians have been evacuated after a ceasefire was introduced.
https://t.co/yECVUWLKOO"
963,"Neil Parish, a member of UK Prime Minister Boris Johnson’s Conservative Party, resigns after admitting watching porn in Parliament.
https://t.co/M6n4VlwnSw"
964,"A powerful tornado tore through the Wichita area, leveling dozens of structures in the city of Andover, according to officials. https://t.co/FMTlTwTWqr"
965,"US stocks plunged, with the Nasdaq marking its worst month since October 2008 and the S&amp;P notching its worst month since March 2020 at the onset of the Covid pandemic. https://t.co/bhIGFCnunK"
966,"Major League Baseball has suspended Los Angeles Dodgers pitcher Trevor Bauer for two years for violating the league’s “Joint Domestic Violence, Sexual Assault and Child Abuse Policy.” https://t.co/KsXA5DmXPr"
967,Six-time grand slam champion Boris Becker has been sentenced to two-and-a-half years in jail for flouting the terms of his bankruptcy in 2017. https://t.co/oCKKHmFiLT
968,"At least five people were killed and 20 wounded after an explosion at a mosque in the Afghan capital Kabul, a Taliban spokesperson said. Witnesses said they feared many more had died. https://t.co/U8FUK6UZXb"
969,Americans had to reach deeper into their pockets in March as a key inflation index showed prices hit a fresh 40-year high last month https://t.co/ONAy1OdxR5
970,"Cutting out menthol in cigarettes and cigars could have a significant effect on the number of smokers, FDA says
https://t.co/vBmFvAoRhs"
971,"President Biden asks Congress for an additional $33 billion in Ukraine aid
https://t.co/qRWkmxLCpR"
972,"The US economy just logged its worst quarter in nearly two years, thanks to Omicron and inflation levels not seen in 40 years https://t.co/myxMW9JKG9"
973,Moderna seeks FDA authorization for Covid-19 vaccine for kids 6 months through 5 years old. It could be the first US Covid shot for kids under age 5 https://t.co/jYHBw0bFv5
974,"The US left about $7 billion worth of military equipment in Afghanistan after the 2021 withdrawal, including aircraft and weapons, a Pentagon report says https://t.co/BbcVpgNa8y"
975,"Former President Donald Trump has appealed a judge’s civil contempt order imposing a $10,000 daily fine for failing to comply with a subpoena from the New York attorney general for records tied to an investigation into the Trump Organization’s finances. https://t.co/maidowLm6m"
976,"Trevor Reed, a US citizen who has been detained in Russia since 2019, has been released in a prisoner swap, according to a Russian official https://t.co/rbcZ3Q7RDw"
977,"Pfizer/BioNTech request FDA emergency use authorization for a booster dose of the Covid-19 vaccine for children ages 5 through 11 
https://t.co/FS2zIx49LQ"
978,"Russia will suspend gas supplies to Poland, according to a Polish state-run gas firm, in a dramatic escalation of tensions with the West
https://t.co/EbF0K8iZlx"
979,"US markets tumbled Tuesday as a sell-off spurred by fears of an economic slowdown continued. The Dow shed more than 800 points.
https://t.co/rGey5mJfMZ"
980,"JUST IN: Vice President Kamala Harris, who is fully vaccinated and boosted twice, has tested positive for Covid-19 https://t.co/NTQ8eSZ7zw"
981,"Gen. Mark Milley says global security that's been in place since World War II is at stake if Russia gets away with Ukraine war ""cost-free"" https://t.co/vbN6t1HKeP"
982,"Taking aspirin daily has little benefit for most healthy people and may contribute to a risk that goes up with age, US task force says https://t.co/KjWSClB4uj"
983,"President Biden will commute the sentences of 75 people serving time for nonviolent drug offenses and issue full pardons for three individuals
https://t.co/3i95ns15dy"
984,"New satellite images reveal a third mass grave near the besieged southeastern city where locals have been forced to work in exchange for food, mayor says
https://t.co/hwS3yEhcVv"
985,"A federal judge has temporarily blocked the Biden administration from ending Title 42, a pandemic rule that lets the US turn away migrants at the southern border https://t.co/v28VVEL2Rm"
986,"Twitter has agreed to sell itself to Elon Musk in a deal valued at around $44 billion, the company said Monday. https://t.co/H7mrcY4qM2"
987,A judge is holding former President Donald Trump in civil contempt for failing to comply with document subpoenas from New York's attorney general https://t.co/0R3mqJP59V
988,A vast trove of Mark Meadows’ text messages obtained by CNN show how Trump’s White House chief of staff played a key role in attempts to overturn the 2020 election results https://t.co/DEpI0ibwiv
989,"Russian forces have struck five railway stations in central and western Ukraine leading to casualties, head of Ukraine state railways says  https://t.co/AstjtJFZH0"
990,"US Secretary of State Blinken says a sovereign Ukraine will be around 'a lot longer than Vladimir Putin' after meeting Zelensky in Kyiv
https://t.co/uLaFCjTXWw"
991,"The US will resume its diplomatic presence in Ukraine after Secretaries Blinken and Austin met Zelensky in Kyiv, a senior State Department official said
https://t.co/s5Fug7JSly"
992,"President Emmanuel Macron won the French presidential election with 58.55% of the votes, according to the French Ministry of Interior. https://t.co/8NAw008eSc"
993,"Emmanuel Macron will win France's presidential election, pollsters project, fending off a historic far-right challenge from Marine Le Pen https://t.co/DbawMQbkb2"
994,"US Secretary of State Antony Blinken and Defense Secretary Lloyd Austin will visit Kyiv on Sunday, Ukraine's President said.
https://t.co/J7WXpNbITf"
995,"Miguel Cabrera of the Detroit Tigers becomes the 33rd player to reach the Major League Baseball milestone.
https://t.co/NqZhXzCbQa"
996,"Ukrainian officials condemned deadly Russian missile strikes on the southern port city of Odesa during holiday observances in Ukraine. 

Follow live updates:
https://t.co/WR6kEMVPVL"
997,"The suspect in the Washington, DC, shooting today that wounded four people is dead, police say
https://t.co/dUqixU2xZ6"
998,"One crew member died and 27 are missing after the prized Moskva warship sank last week in the Black Sea, Russia says https://t.co/FHxZrSfBze"
999,"Authorities are responding to an ""active threat"" in Washington, DC, and at least two people were shot, police said https://t.co/B8HoiOm5DY"
1000,"Florida Gov. Ron DeSantis has signed into law bills targeting Disney, establishing a new congressional map, and limiting how schools teach race and gender https://t.co/2d3huXnWzW"
1001,"More than 30 people, including children, are believed dead and dozens more injured in a blast at a mosque in Afghanistan, according to a Taliban spokesman https://t.co/Kdi955N4ij"
1002,"More than 20 states on Thursday asked a federal judge in Louisiana to immediately block the Biden administration from ending a public health authority, known as Title 42. https://t.co/AHigB6GxTF"
1003,"CNN+, the streaming service that was hyped as one of the most signifiant developments in the history of CNN, will shut down on April 30, just one month after it launched. https://t.co/Y1XHnFaK3P"
1004,"JUST IN: President Biden pledges an additional $800 million in military assistance to Ukraine as the war enters what he calls a ""critical window"" https://t.co/Qvs77adWRZ"
1005,"President Biden pledges an additional $800 million in military assistance to Ukraine as the war enters what he calls a ""critical window"" https://t.co/Z7ovMrUCPn"
1006,"Putin scraps plan to storm a steel plant in Mariupol where last Ukrainian forces are holding out, in favor of an ongoing blockade https://t.co/SjH3mcx0Sa"
1007,"The Justice Department has appealed a ruling by a federal judge that struck down the mask mandate for mass transportation, following a recommendation by the CDC. https://t.co/fJkiUC8RZl"
1008,"The United States has unveiled the latest Russian sanctions, this time targeting a key commercial bank and a global network led by a Russian oligarch. https://t.co/UZkS4BzJKB"
1009,"A$AP Rocky was detained by police at Los Angeles International Airport in connection to a November 2021 shooting, according to the LA Police Department. https://t.co/xmbXNZSIIz"
1010,Wimbledon organizers announced that Russian and Belarusian players will not be allowed to compete at this year's grand slam following Russia's invasion of Ukraine. https://t.co/s4FP22eH50
1011,"William Husel, a former Ohio doctor accused of overprescribing pain meds, has been found not guilty of murder https://t.co/hOWlSjllAv"
1012,A London court has issued an extradition order for WikiLeaks founder Julian Assange https://t.co/soGknNqpld
1013,"The Justice Department said it will appeal the court ruling striking down the mask mandate for travelers if the CDC finds it is still necessary
https://t.co/0XxlvQTYOb"
1014,"The US is prepping another $800 million military assistance package for Ukraine, according to multiple sources
https://t.co/2JSGULudYI"
1015,"British Prime Minister Boris Johnson has apologized for breaking his own Covid-19 restrictions, but claimed he didn't know the 2020 birthday gathering thrown in his honor was an illegal party https://t.co/sPl4a2QRrv"
1016,"Canada has announced that it’s imposing new sanctions on 14 close associates of the Russian regime, including President Putin’s two adult daughters https://t.co/9tUAAR0O5F"
1017,"Multiple explosions rock schools in western Kabul, police and witnesses say. The number of casualties is unclear. https://t.co/iAEBTuLFVm"
1018,"Football legend Cristiano Ronaldo has announced his baby son has died. The Manchester United and Portugal star said in October he and his partner, Georgina Rodriguez, were expecting twins. In December they announced they were expecting a boy and a girl. https://t.co/zA8dzOFREF"
1019,"Tokyo 2020 women's gold medalist and 2021 New York Marathon winner Peres Jepchirchir won the women's race at this year's Boston Marathon. Jepchirchir won in the third-fastest time in event history, finishing in two hours, 21 minutes and one second. https://t.co/hX7J3psuJI"
1020,A federal judge in Florida has struck down the Biden administration's mask mandate for airplanes and other public transport methods. https://t.co/8F3jrEerXs
1021,"Evans Chebet won the 126th Boston Marathon men's race in an unofficial time of two hours, six minutes and 51 seconds to claim his first Boston Marathon title. https://t.co/AzpaF7Q54u"
1022,"At least six dead in Russian missile strikes on the western Ukrainian city of Lviv, local officials say https://t.co/H4jPmwiA6j"
1023,"Pope Francis said the world is marking an ""Easter of war"" as he called for peace in Ukraine https://t.co/vjl5idnCVS"
1024,Twelve people were injured – 10 with gunshot wounds – after a shooting at a South Carolina mall. Police have detained three people. https://t.co/zIYhM2OU8s
1025,"Injuries have been reported at a Columbia, South Carolina, mall following reports of shots being fired, police say.
https://t.co/CAAF94VYl9"
1026,Former President Donald Trump has endorsed entrepreneur and author J.D. Vance in the Ohio Republican primary for Senate https://t.co/4zqr1JTET3
1027,"The US will restart onshore oil and gas lease sales for public lands, but companies will pay a higher royalty rate, the Interior Department says https://t.co/35tL8D2M6k"
1028,"Actress Liz Sheridan has died at age 93. She's best known for playing Jerry Seinfeld's mother, Helen, on his hit sitcom. https://t.co/bV01sDSskZ"
1029,"The sunk Russian warship Moskva was damaged by two Ukrainian missiles, a US defense official says, supporting Ukraine's account of events https://t.co/kipPpJLOmU"
1030,"Twitter's board has adopted a ""poison pill"" measure that could make it harder for Elon Musk to buy the company https://t.co/86moatxHmX"
1031,"US officials tell CNN that Russia has formally protested the US's ongoing shipment of weapons to Ukraine, sending a diplomatic note to the State Department warning of ""unpredictable consequences"" should the support continue https://t.co/uGI6ltZFfR"
1032,"Mark Meadows' texts reveal how two of Trump's congressional allies lobbied for, then soured on, the White House's effort to overturn the 2020 election
https://t.co/087qWkCa0d"
1033,"FDA grants emergency use authorization for the first Covid-19 breath test, which can be used at medical offices and mobile test sites. https://t.co/ETxoctoOki"
1034,"A member of the notorious ISIS ""Beatles"" cell has been convicted in the US of assisting in the hostage-taking and deaths of four Americans https://t.co/4bsz9DbOF7"
1035,"Elon Musk has made an offer to buy Twitter outright, valuing the company at $43.4 billion, according to an SEC filing https://t.co/89JDzGVQKc"
1036,"Brooklyn subway shooting suspect Frank James has been arrested by police in New York City's East Village, law enforcement officials tell CNN https://t.co/HlgfPYIG3J"
1037,New York City police now consider Frank James a suspect in the Brooklyn subway shooting. Police earlier named James a person of interest. https://t.co/KgZj4S4pO3
1038,"Police identify a ""person of interest"" wanted in connection with the NYC subway shooting and urge the public to come forward with information https://t.co/CDI8WmVIvv"
1039,"New York Lt. Gov. Brian Benjamin resigns following his arrest in connection with an alleged bribery scheme, Gov. Kathy Hochul says https://t.co/jMT4Mh8PSK"
1040,"Comedian Gilbert Gottfried has died at age 67 following a long illness, according to a statement from his family https://t.co/HlAFm6wltu"
1041,"New York Lt. Gov. Brian Benjamin has been indicted on multiple charges including bribery in connection with an alleged campaign contribution scheme
https://t.co/5ua6meNOWT"
1042,"Multiple people have been shot in a Brooklyn subway station where ""several undetonated devices"" were also found, authorities say
https://t.co/sfuGARsSSS"
1043,"British Prime Minister Boris Johnson and finance minister Rishi Sunak to be fined over lockdown-breaking parties at UK government premises
https://t.co/k2XamRes6e"
1044,"President Biden will announce an emergency waiver on summer ethanol ban to combat rising gas prices across the country
https://t.co/puF3mxZ1bk"
1045,"A jury has found a former Virginia police officer guilty on all six charges he faced for his actions around the US Capitol attack on January 6, 2021 https://t.co/G4qm6itJi1"
1046,Philadelphia is reinstating its mask mandate for indoor public spaces starting next week as Covid-19 cases rise in the city https://t.co/XtMgjtub4O
1047,"President Biden unveils a regulation aimed at cracking down on ghost guns and taps Steve Dettelbach, a former US attorney, as nominee to lead the Bureau of Alcohol, Tobacco, Firearms and Explosives https://t.co/JIv10NtTxS"
1048,"Nine drivers for a Ukrainian volunteer group were detained in the Donbas region by the Russian military and remain missing, a group official says
https://t.co/tbSNp39TZo"
1049,"Pakistan's parliament votes in Shehbaz Sharif as Prime Minister, after a constitutional crisis that ended with the ousting of Imran Khan
https://t.co/TpcNgSq21D"
1050,"Tesla CEO Elon Musk, who recently bought a large stake in Twitter, has decided not to join the social media company's board
https://t.co/xu7cimdK56"
1051,"Scottie Scheffler wins the 2022 Masters, the first major title of his career, following a dominant performance
https://t.co/lC3kHU4AR7"
1052,"New York City Mayor Eric Adams tests positive for Covid-19 and will cancel events for the rest of the week, his spokesperson says 
https://t.co/AzASCqZtHC"
1053,"President Emmanuel Macron and Marine Le Pen lead the field as voting ends in first round of French election, early data suggests
https://t.co/yKBWFtLm4f"
1054,"President Biden is expected to announce new firearm regulations as soon as Monday meant to contain the use of privately made weapons, people familiar with the matter said https://t.co/k7VY4LNW5M"
1055,Pakistan's Prime Minister Imran Khan ousted as the country's leader following no-confidence vote. https://t.co/07OCJFsxII
1056,"US Agriculture Secretary Tom Vilsack, who is fully vaccinated and boosted, says he has tested positive for Covid-19 and has ""mild"" symptoms
https://t.co/nJH01jRury"
1057,"Pittsburgh Steelers quarterback Dwayne Haskins has died, his team confirms in a statement https://t.co/nlYV4omWk3"
1058,NASA announced Saturday that a crucial moon mission test has again been delayed and is now scheduled to begin on Tuesday. https://t.co/3vuvncDyur
1059,A SpaceX capsule carrying three paying customers and a former NASA astronaut has arrived at the International Space Station https://t.co/fPRV7VvGS3
1060,"Discovery's merger with CNN parent company WarnerMedia takes effect, creating a streaming media giant called Warner Bros. Discovery https://t.co/Cd6IysSUtr"
1061,"One student is dead and two others injured after a shooting near South Bronx High School, the New York Police Department says 
https://t.co/4bKpYFOm0M"
1062,"A former USC water polo coach was found guilty of conspiracy and fraud in the ""Operation Varsity Blues"" college admissions scandal
https://t.co/3tOWxBwfTO"
1063,"Will Smith will not be allowed to attend the Academy Awards for the next 10 years, the Academy of Motion Picture Arts &amp; Sciences says https://t.co/yzBbpKHg6N"
1064,"A jury acquitted two defendants of conspiracy to kidnap Michigan's governor. A mistrial was declared for two others charged in the case.
https://t.co/dNLERFueDh"
1065,Tiger Woods has teed off for his second round at the Masters on Friday. The five-time Masters champion capped off a remarkable comeback to golf on Thursday as he carded a one-under 71 in the opening round at Augusta National. https://t.co/g6ucaOX9Uy
1066,"At least 50 people, including five children, were killed after Russian forces carried out a missile strike on a railway station in Kramatorsk, eastern Ukraine, that was being used by civilians trying to flee the fighting, Ukrainian officials said Friday. https://t.co/MtqERIUDUl"
1067,Ketanji Brown Jackson is confirmed to the Supreme Court as the first Black female justice after historic Senate vote https://t.co/mXI9Gr4qRK
1068,New York attorney general asks court to hold former President Donald Trump in contempt for failing to turn over documents https://t.co/i4YvZ3C5fP
1069,The UN General Assembly has suspended Russia from the UN Human Rights Council after evidence of atrocities in its invasion of Ukraine. https://t.co/rE5b7rXh1h
1070,"Nancy Pelosi tests positive for Covid-19 and is currently asymptomatic. The House Speaker is fully vaccinated and boosted, her spokesman says. https://t.co/h4CCbbUoVK"
1071,"Ukrainian President Zelensky has told the Greek Parliament that ""those who choose war always lose"" and that Russia’s actions were not only directed at Ukraine, but also at Europe.

Live updates: https://t.co/XaXXQHMOr1"
1072,"A Turkish court rules to transfer the murder trial of slain journalist Jamal Khashoggi to Saudi Arabia, a move that could effectively end the case https://t.co/dengTNC8rZ"
1073,"House votes to recommend two former advisers to former President Trump be referred to the Department of Justice on criminal contempt of Congress charges
https://t.co/CrnIuDneE5"
1074,"Attorney General Merrick Garland tests positive for Covid-19 but is not experiencing symptoms, the Justice Department says
https://t.co/6OkVJWrDCq"
1075,"The US has announced new sanctions on Russian financial institutions and individuals, including President Putin's two adult daughters https://t.co/WvUinWtmov"
1076,CNN projects voters in Milwaukee have elected Cavalier Johnson as the city's next mayor https://t.co/PNyxsPUCPE
1077,Police arrest a third suspect in connection to Sunday's shooting in Sacramento that left six people dead. https://t.co/pHu8VA8L3m
1078,"Oklahoma's legislature passes a near-total ban on abortion, making exceptions only for medical emergencies
https://t.co/bJUHPkQ3Ar"
1079,"The Biden administration is planning to extend a pause on federal student loan repayments through Aug. 31, an administration official says
https://t.co/H2zAqwH4s8"
1080,"The US is expected to announce new, sweeping sanctions against Russia on Wednesday in coordination with G7 nations and the European Union
https://t.co/blp78etmJE"
1081,"The US Ambassador to the UN has made a case for seeking the suspension of Russia from the Human Rights Council — something she and other UN Member states are calling for, which would require a vote in the General Assembly.

Live updates: https://t.co/MnH6d8B4tV"
1082,"Ukrainian President Zelensky opened his remarks to the UN Security Council by addressing what he witnessed in Bucha, saying of the Russians who attacked the Kyiv suburb, ""there is not a single crime they would not commit there.""

Live updates ⬇️ https://t.co/Gr8mj9Xmam"
1083,"Italy has expelled 30 Russian diplomats for ""reasons related to our national security,"" Italian Foreign Minister Luigi Di Maio says https://t.co/7Pyfop7KvS"
1084,Denmark has expelled 15 alleged Russian intelligence officers it claims were working undercover as diplomats https://t.co/8jmbUhU3VT
1085,"Kansas completes historic comeback to beat North Carolina 72-69 in the NCAA men's basketball title game, winning its 4th national championship 
https://t.co/paFwXCGI76 https://t.co/ZX2Y8anv1R"
1086,Senate advances Ketanji Brown Jackson's Supreme Court nomination with a procedural vote as her confirmation picks up more Republican support. https://t.co/YiLnSAmtYe
1087,Police arrest suspect in connection with this weekend's shooting in Sacramento that killed six people and injured 12. https://t.co/XhPfue6673
1088,President Biden calls for a war crimes trial against Russian President Vladimir Putin after images emerge of atrocities allegedly committed by Russia in Ukraine  https://t.co/M0wkWXSiY3
1089,"Elon Musk buys 9.2% stake in Twitter to become its top shareholder. He recently criticized the social platform claiming it puts limits on free speech.
https://t.co/NilhdYyo58"
1090,The University of South Carolina defeats UConn 64-49 to win the NCAA women's basketball national championship. https://t.co/nZv02LxHpb
1091,Hungary’s authoritarian leader Viktor Orban declares victory in elections after a campaign dominated by the war in neighboring Ukraine. https://t.co/qR5lcu1Q4g
1092,"Multiple people were shot in downtown Sacramento early Sunday morning, police said.
https://t.co/oNGeIgIOGT"
1093,"Pakistani Prime Minister Imran Khan moves to dissolve parliament and calls for early election, shortly after vote to oust him was blocked 
https://t.co/ji2QK2LkIG"
1094,"Kansas and North Carolina will play Monday for the college basketball national championship after winning their Final Four games Saturday 
https://t.co/fvK1gWhP1O"
1095,"General Motors is recalling more than 680,000 SUVs due to a defect in their windshield wipers.
https://t.co/FClFzh6jdF"
1096,"Former Alaska Gov. Sarah Palin announces she is running for Congress, seeking to fill the state's lone House seat after the death of Rep. Don Young https://t.co/wlFcny1UjQ"
1097,Will Smith has resigned from the Academy after slapping Chris Rock on stage at last weekend's Oscars https://t.co/NF0sJC1JzJ
1098,The Georgia Senate has approved a measure that would prohibit local school boards and administrators from discriminating “on the basis of race” by promoting or encouraging “divisive concepts” in classrooms. https://t.co/AlQ3UidYh7
1099,"The Biden administration will end Trump-era pandemic restrictions that effectively blocked migrants from entering the United States on May 23, the US Centers for Disease Control and Prevention announced Friday. https://t.co/9YV3z06RN1"
1100,"The House has voted to federally decriminalize marijuana. Senate Democrats have a similar legalization bill in the upper chamber, but neither that bill nor the House-passed MORE Act is expected to clear the 60-vote threshold for passage in the Senate. https://t.co/OFFgAaFrhU"
1101,"President Biden has said ""Americans are back to work"" following the March jobs report that showed America's unemployment rate fell to a new pandemic-era low of 3.6% https://t.co/dyB2RgbVbv"
1102,"White House press secretary Jen Psaki plans to depart the White House in the coming weeks and move to MSNBC, two people familiar with the matter have told CNN https://t.co/b5MiQGV3Ya"
1103,"A Kremlin spokesperson has said that a purported strike by Ukrainian helicopters on a fuel depot in the southern Russian city of Belgorod could have a potential negative impact on negotiations between Kyiv and Moscow.

Live updates ⬇️ https://t.co/EDnlwm9QFN"
1104,"Oscars show producer says LAPD officers had been ""prepared"" to arrest Will Smith, but Chris Rock insisted he didn't want to press charges. https://t.co/BZC6peXitX"
1105,"At a show in Boston, Chris Rock said he was ""still processing what happened"" at Sunday's Academy Awards and will talk about it ""at some point"" https://t.co/xIfyw8QIqN"
1106,"Academy's Board of Governors says Will Smith was asked to leave Oscars and ""refused,"" and says it has opened disciplinary proceedings against him. https://t.co/O4MBbS1LDf"
1107,"Susan Collins tells The New York Times she will support Judge Ketanji Brown Jackson, becoming the first GOP senator to back Biden's Supreme Court pick
https://t.co/4fSQxTcNPz"
1108,"NASA astronaut Mark Vande Hei lands back on Earth after spending a record-breaking 355 days in space. Vande Hei returned with two Russian cosmonauts.
https://t.co/fPhrSXaRhE"
1109,"Five people were killed in a shooting near Tel Aviv, according to Israeli police, marking the third such attack in Israel within a week https://t.co/Qi2p1t6Y91"
1110,"President Biden signed a bill into law that makes lynching a federal hate crime, acknowledging how racial violence has left a lasting scar on the nation https://t.co/kLE8yNHnDE"
1111,"The FDA authorized a second Covid-19 vaccine booster shot for adults 50 and older
https://t.co/8WA44NiY0E"
1112,"The highly contagious Omicron subvariant BA.2 is now the dominant strain of coronavirus in the United States, CDC says
https://t.co/eCv23CYKBZ"
1113,"Moscow says it will ""drastically reduce"" military activity in Kyiv and Chernihiv after Ukraine claims Russian troops are withdrawing on those fronts
https://t.co/ZR3wTvZASu"
1114,UK police to issue 20 fines for breaches of Covid-19 laws after revelations of parties held at Downing Street during lockdowns https://t.co/WWiLk4fwBM
1115,"Will Smith issues public apology to Chris Rock for onstage slap at the Oscars, saying he ""reacted emotionally"" to a joke about his wife. https://t.co/MchYQfBFT3"
1116,"The Academy of Motion Pictures Arts and Sciences says it condemns Will Smith's actions at the Oscars and has opened a ""formal review"" of the onstage incident involving Chris Rock https://t.co/p4g0LxMvUQ"
1117,About 20 people were hospitalized following a fiery pileup involving dozens of vehicles during a snow squall on a Pennsylvania highway https://t.co/to85YVpC3K
1118,"Academy of Motion Pictures Arts and Sciences leadership ""strongly considered"" removing Will Smith from the Oscars telecast Sunday night after the actor stormed the stage and slapped Chris Rock in the face, a source says https://t.co/nlQYCGOs5g"
1119,"A federal judge says former President Donald Trump ""more likely than not"" attempted to ""corruptly"" obstruct Congress in trying to overturn the 2020 election https://t.co/n0m8TbL8Jb"
1120,"After Biden declared Putin ""cannot remain in power,"" the White House said he wasn't calling for a regime change in Russia.
https://t.co/Zzg3xTKwzT"
1121,"Biden calls for regime change in Russia, saying of Putin: ""This man cannot remain in power"".
https://t.co/bqy7TeGfOg"
1122,"President Biden delivers “major address” after meeting with leaders and Ukrainian refugees in Poland.
https://t.co/WfdGhOeVDK"
1123,"Explosions have been reported in the western Ukrainian city of Lviv after air raid sirens were heard.

Follow live updates: https://t.co/hzxvLUmHj3"
1124,"Foo Fighters drummer Taylor Hawkins has died at the age of 50, band members announced
https://t.co/mynFCEcI78"
1125,Former President Trump and his two adult sons have agreed to sit for depositions as part of a class-action lawsuit alleging they collaborated with a fraudulent marketing company https://t.co/DuJ9dhL40w
1126,"Young transgender athletes in Utah have been banned from competing on women's and girls' sports teams after GOP state lawmakers overrode a veto from their Republican governor to enact the controversial measure
https://t.co/wP0XxURoX0"
